consistent, condition, timestep, subject, correct, which
0, abaabaaabaaaaba, 13, 17, 0, 1
0, bbaaabbaaabbaaa, 14, 17, 1, 0
0, abaabaaabaaaaba, 14, 17, 1, 1
0, bbaaabbaaabbaaa, 0, 18, 0, 0
0, abaabaaabaaaaba, 0, 18, 0, 1
0, bbaaabbaaabbaaa, 1, 18, 0, 0
0, abaabaaabaaaaba, 1, 18, 1, 1
0, bbaaabbaaabbaaa, 2, 18, 0, 0
0, abaabaaabaaaaba, 2, 18, 1, 1
0, bbaaabbaaabbaaa, 3, 18, 0, 0
0, abaabaaabaaaaba, 3, 18, 0, 1
0, bbaaabbaaabbaaa, 4, 18, 0, 0
0, abaabaaabaaaaba, 4, 18, 1, 1
0, bbaaabbaaabbaaa, 5, 18, 0, 0
0, abaabaaabaaaaba, 5, 18, 0, 1
0, bbaaabbaaabbaaa, 6, 18, 1, 0
0, abaabaaabaaaaba, 6, 18, 1, 1
0, bbaaabbaaabbaaa, 7, 18, 0, 0
0, abaabaaabaaaaba, 7, 18, 0, 1
0, bbaaabbaaabbaaa, 8, 18, 0, 0
0, abaabaaabaaaaba, 8, 18, 1, 1
0, bbaaabbaaabbaaa, 9, 18, 0, 0
0, abaabaaabaaaaba, 9, 18, 1, 1
0, bbaaabbaaabbaaa, 10, 18, 1, 0
0, abaabaaabaaaaba, 10, 18, 1, 1
0, bbaaabbaaabbaaa, 11, 18, 1, 0
0, abaabaaabaaaaba, 11, 18, 1, 1
0, bbaaabbaaabbaaa, 12, 18, 1, 0
0, abaabaaabaaaaba, 12, 18, 1, 1
0, bbaaabbaaabbaaa, 13, 18, 1, 0
0, abaabaaabaaaaba, 13, 18, 1, 1
0, bbaaabbaaabbaaa, 14, 18, 1, 0
